Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
21120,2024-11-01 09:10:00,0.003810,0.033699,0.023981,0.073956,7.289706,5.154866,11.2374,7487,0,1.00000omega,0.002641 + -0.03674theta + 0.00174omega + 0.00194theta^2 + 0.00246theta omega + 0.05166omega^2 + 0.00018theta^3 + 0.00143theta^2 omega + -0.00188theta omega^2 + 0.01261omega^3,0.076603*omega**3 - 0.000381*omega**2*theta + 0.018541*omega**2 + 1.0e-5*omega*theta**2 + 0.000276*omega*theta + 0.001989*omega + 2.0e-6*theta**2 + 2.0e-6*theta - 0.000273
21121,2024-11-01 09:15:00,0.003442,0.024802,0.017706,0.073000,3.103763,2.195298,12.4436,5774,0,1.00000omega,0.062491 + -0.05688theta + -0.29692omega + 0.06961theta^2 + -0.05656theta omega + -0.17927omega^2 + -0.02778theta^3 + 0.02848theta^2 omega + 0.02820theta omega^2 + -0.03710omega^3,-0.307807*omega**3 + 0.007799*omega**2*theta - 0.124979*omega**2 + 0.000263*omega*theta**2 - 0.003059*omega*theta - 0.001925*omega - 9.0e-6*theta**3 + 0.000141*theta**2 - 0.00078*theta + 0.001532
21122,2024-11-01 09:20:00,0.003090,0.019175,0.013734,0.087401,4.583572,3.241664,6.0804,5736,0,1.00000omega,-0.011281 + -0.08844theta + 0.01820omega + -0.02610theta^2 + -0.03117theta omega + -0.13494omega^2 + -0.00949theta^3 + -0.00415theta^2 omega + 0.01729theta omega^2 + 0.00590omega^3,0.036601*omega**3 + 0.003575*omega**2*theta - 0.056958*omega**2 - 2.9e-5*omega*theta**2 - 0.000543*omega*theta - 1.9e-5*omega - 2.0e-6*theta**3 - 2.1e-5*theta**2 - 0.000141*theta - 0.000173
21123,2024-11-01 09:25:00,0.007964,0.058131,0.041489,0.036334,1.641187,1.160779,252.4098,9999,0,1.00000omega,-0.006581 + -0.00178theta + 0.00267omega + -0.00013theta^2 + 0.00029theta omega + -0.00085omega^2 + 0.00001theta^3 + 0.00006theta^2 omega + -0.00006theta omega^2 + 0.00004omega^3,0.001004*omega**3 - 5.0e-5*omega**2*theta - 0.001956*omega**2 + 2.0e-6*omega*theta**2 + 8.7e-5*omega*theta + 0.001219*omega + 1.0e-6*theta**2 + 7.0e-6*theta - 7.0e-6
21124,2024-11-01 09:30:00,nan,nan,nan,nan,nan,nan,27.4250,4127,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
21125,2024-11-01 09:35:00,0.004480,0.031004,0.022151,0.073532,4.445145,3.143622,4.4900,8182,0,1.00000omega,0.317611 + -0.25883theta + -0.00338omega + 0.04445theta^2 + -0.01617theta omega + 0.05067omega^2 + -0.01304theta^3 + 0.00754theta^2 omega + -0.02308theta omega^2 + -0.00563omega^3,-0.014802*omega**3 - 0.002023*omega**2*theta + 0.004262*omega**2 + 2.2e-5*omega*theta**2 + 7.4e-5*omega*theta - 0.000339*omega - 1.0e-6*theta**3 - 6.0e-6*theta**2 - 0.00024*theta - 0.000113
21126,2024-11-01 09:40:00,0.010000,0.044803,0.032460,0.123433,11.150138,7.884821,260.5658,9999,0,1.00000omega,-0.007251 + -0.00324theta + 0.00393omega + 0.00024theta^2 + 0.00073theta omega + 0.00505omega^2 + -0.00006theta^3 + -0.00004theta^2 omega + 0.00012theta omega^2 + 0.00363omega^3,0.061914*omega**3 + 6.8e-5*omega**2*theta + 0.002497*omega**2 - 0.e-6*omega*theta**2 + 4.7e-5*omega*theta - 0.000501*omega + 2.0e-6*theta**2 - 5.3e-5*theta + 0.000401
21127,2024-11-01 09:45:00,0.003427,0.027507,0.019601,0.097238,10.228861,7.233224,21.2738,9999,0,1.00000omega,-0.076141 + -0.00641theta + -0.07326omega + 0.00547theta^2 + 0.00092theta omega + 0.01513omega^2 + 0.00014theta^3 + -0.00041theta^2 omega + -0.00151theta omega^2 + 0.00389omega^3,0.045726*omega**3 - 0.000592*omega**2*theta + 0.015691*omega**2 - 5.0e-6*omega*theta**2 + 0.000132*omega*theta - 0.003236*omega + 2.0e-6*theta**2 - 6.7e-5*theta + 0.000289
21128,2024-11-01 09:50:00,0.004405,0.039471,0.028083,0.072058,5.255322,3.716423,22.8666,9999,0,1.00000omega,-0.018571 + -0.00085theta + -0.01414omega + 0.00094theta^2 + -0.00206theta omega + -0.01478omega^2 + -0.00056theta^3 + 0.00063theta^2 omega + -0.00056theta omega^2 + 0.00214omega^3,0.017854*omega**3 - 0.000156*omega**2*theta - 0.004695*omega**2 + 6.0e-6*omega*theta**2 - 0.000269*omega*theta + 0.002563*omega + 1.1e-5*theta**2 - 0.000228*theta + 0.001562
21129,2024-11-01 09:55:00,0.004506,0.035058,0.024993,0.048603,3.189695,2.255717,66.6445,9999,0,1.00000omega,0.047961 + -0.00700theta + -0.00509omega + 0.00007theta^2 + 0.00085theta omega + -0.01623omega^2 + -0.00035theta^3 + -0.00000theta^2 omega + 0.00013theta omega^2 + -0.00886omega^3,-0.18264*omega**3 + 8.9e-5*omega**2*theta - 0.01508*omega**2 + 2.3e-5*omega*theta - 0.000597*omega + 1.5e-5*theta**2 - 0.000276*theta + 0.00184
