Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
67000,2025-04-14 13:40:00,nan,nan,nan,0.003 1 + -0.001 theta + 0.990 omega + 0.027 theta omega + -1.364 omega^2 + 0.001 theta^2 omega + -0.218 theta omega^2 + 13.047 omega^3,0.005 1 + -0.002 theta + 0.009 omega + 0.055 theta omega + -3.027 omega^2 + 0.001 theta^2 omega + -0.439 theta omega^2 + 27.189 omega^3,4.9358680092e-03,-1.5790617519e-03,9.1488835811e-03,-9.7189430051e-05,5.4920211108e-02,-3.0267152043e+00,-6.5483274181e-07,1.2686768461e-03,-4.3944241730e-01,2.7188642380e+01
67001,2025-04-14 13:45:00,nan,nan,nan,-0.025 1 + 0.004 theta + 1.369 omega + -0.039 theta omega + -1.745 omega^2 + 0.001 theta^2 omega + 0.037 theta omega^2 + 4.953 omega^3,-0.050 1 + 0.007 theta + 0.758 omega + -0.079 theta omega + -3.594 omega^2 + 0.002 theta^2 omega + 0.079 theta omega^2 + 10.084 omega^3,-5.0349886205e-02,7.2986663677e-03,7.5810998231e-01,-1.4879497870e-04,-7.8941143998e-02,-3.5935976659e+00,-3.0877877648e-06,2.0081890241e-03,7.9085909236e-02,1.0083978546e+01
67002,2025-04-14 13:50:00,0.071829,8.147137,5.761120,0.010 1 + -0.003 theta + 0.824 omega + 0.041 theta omega + 0.659 omega^2 + -0.001 theta^2 omega + -0.173 theta omega^2 + 2.627 omega^3,0.014 1 + -0.004 theta + -0.230 omega + 0.060 theta omega + 0.443 omega^2 + -0.003 theta^2 omega + -0.146 theta omega^2 + 3.359 omega^3,1.4075979149e-02,-3.7971902303e-03,-2.3003403551e-01,2.1902806830e-04,5.9851399906e-02,4.4287259179e-01,0.0000000000e+00,-2.8485167234e-03,-1.4648847909e-01,3.3590294778e+00
67003,2025-04-14 13:55:00,nan,nan,nan,-0.004 1 + 1.097 omega + -0.006 theta omega + -0.458 omega^2 + 0.017 theta omega^2 + 0.456 omega^3,-0.009 1 + 0.212 omega + -0.004 theta omega + -0.857 omega^2 + 0.042 theta omega^2 + -1.072 omega^3,-8.9864970032e-03,-2.1743320990e-04,2.1214988591e-01,7.0789663691e-06,-4.3971408850e-03,-8.5650631605e-01,0.0000000000e+00,-6.5937997797e-05,4.2376127524e-02,-1.0724356994e+00
67004,2025-04-14 14:00:00,1.523854,12.908464,9.191044,0.119 1 + 0.006 theta + 1.982 omega + 0.049 theta omega + 1.709 omega^2 + 0.072 theta omega^2 + -0.720 omega^3,0.246 1 + 0.013 theta + 2.073 omega + 0.101 theta omega + 3.906 omega^2 + 0.001 theta^2 omega + 0.150 theta omega^2 + -0.673 omega^3,2.4585324517e-01,1.3282945496e-02,2.0732748362e+00,1.6300984896e-04,1.0074832243e-01,3.9059927015e+00,0.0000000000e+00,9.3100076443e-04,1.4994726804e-01,-6.7345916945e-01
67005,2025-04-14 14:05:00,nan,nan,nan,-0.002 1 + 0.994 omega + 0.001 theta^2 + -0.004 theta omega + 0.155 omega^2 + -0.001 theta^2 omega + 0.076 theta omega^2 + 0.150 omega^3,-0.005 1 + -0.001 theta + -0.009 omega + 0.001 theta^2 + -0.008 theta omega + 0.308 omega^2 + -0.002 theta^2 omega + 0.149 theta omega^2 + 0.249 omega^3,-4.7404876584e-03,-8.7108145759e-04,-9.4782571690e-03,1.1506715527e-03,-7.8056503848e-03,3.0791487454e-01,1.7533711077e-04,-2.3862903517e-03,1.4853352118e-01,2.4927629887e-01
67006,2025-04-14 14:10:00,0.084490,13.072909,9.244136,-0.002 1 + 0.001 theta + 0.881 omega + 0.006 theta omega + 0.862 omega^2 + -0.054 theta omega^2 + -0.609 omega^3,-0.004 1 + 0.001 theta + -0.228 omega + 0.012 theta omega + 1.658 omega^2 + -0.106 theta omega^2 + -1.104 omega^3,-3.9419028575e-03,1.4110777483e-03,-2.2768697481e-01,-1.0698205262e-04,1.1819230593e-02,1.6582118915e+00,1.9664432882e-06,1.9484165190e-04,-1.0625114308e-01,-1.1036816156e+00
67007,2025-04-14 14:15:00,nan,nan,nan,-0.018 1 + 0.006 theta + 1.209 omega + -0.035 theta omega + -0.975 omega^2 + 0.001 theta^2 omega + 0.046 theta omega^2 + 2.461 omega^3,-0.037 1 + 0.012 theta + 0.430 omega + -0.001 theta^2 + -0.072 theta omega + -1.979 omega^2 + 0.003 theta^2 omega + 0.093 theta omega^2 + 5.078 omega^3,-3.6990406691e-02,1.1501199495e-02,4.2961639314e-01,-9.1553910345e-04,-7.2138489773e-02,-1.9787380430e+00,2.1325560643e-05,2.7075557197e-03,9.3236124413e-02,5.0783255025e+00
67008,2025-04-14 14:20:00,nan,nan,nan,-0.005 1 + -0.002 theta + 0.970 omega + -0.011 theta omega + -0.009 omega^2 + -0.001 theta^2 omega + -0.005 theta omega^2 + 0.192 omega^3,-0.010 1 + -0.005 theta + -0.058 omega + -0.021 theta omega + -0.020 omega^2 + -0.001 theta^2 omega + -0.010 theta omega^2 + 0.384 omega^3,-9.7854164201e-03,-4.5224977349e-03,-5.7691358991e-02,-4.2802525977e-04,-2.0855640537e-02,-2.0194024091e-02,-1.1948331945e-05,-1.0664893131e-03,-9.7352077075e-03,3.8397054548e-01
67009,2025-04-14 14:25:00,nan,nan,nan,0.001 1 + 0.979 omega + -0.001 theta^2 + 0.012 theta omega + 0.110 omega^2 + -0.002 theta^2 omega + 0.035 theta omega^2 + -0.559 omega^3,0.002 1 + 0.001 theta + -0.039 omega + -0.001 theta^2 + 0.023 theta omega + 0.273 omega^2 + -0.003 theta^2 omega + 0.057 theta omega^2 + -1.386 omega^3,2.3329067674e-03,6.6069181496e-04,-3.9156279167e-02,-1.0406191713e-03,2.3471178583e-02,2.7320186374e-01,1.1246845558e-04,-3.0304178056e-03,5.6753792984e-02,-1.3863591459e+00
67010,2025-04-14 14:30:00,nan,nan,nan,-0.003 theta + 0.997 omega + -0.002 theta^2 + 0.003 theta omega + -0.262 omega^2 + -0.145 theta omega^2 + 1.522 omega^3,0.001 1 + -0.006 theta + -0.002 omega + -0.004 theta^2 + 0.006 theta omega + -0.493 omega^2 + 0.001 theta^2 omega + -0.287 theta omega^2 + 2.941 omega^3,6.8848872200e-04,-5.7000364199e-03,-2.3481232281e-03,-3.5020704249e-03,6.1089282496e-03,-4.9328035614e-01,-4.4256530234e-04,5.3359718913e-04,-2.8740489998e-01,2.9411245332e+00
67011,2025-04-14 14:35:00,nan,nan,nan,-0.002 1 + -0.003 theta + 1.005 omega + -0.001 theta^2 + 0.012 theta omega + -0.452 omega^2 + 0.001 theta^2 omega + -0.046 theta omega^2 + 0.156 omega^3,-0.004 1 + -0.006 theta + 0.013 omega + -0.001 theta^2 + 0.025 theta omega + -0.902 omega^2 + 0.002 theta^2 omega + -0.090 theta omega^2 + 0.307 omega^3,-4.1778142847e-03,-6.1871487525e-03,1.2678268299e-02,-1.2469119826e-03,2.5021609194e-02,-9.0239919971e-01,-6.6300946764e-05,2.2521173299e-03,-9.0130929768e-02,3.0692721442e-01
67012,2025-04-14 14:40:00,1.110929,25.068465,17.743479,1.012 omega + -0.014 theta omega + -0.114 omega^2 + 0.005 theta^2 omega + -0.014 theta omega^2 + -0.797 omega^3,0.001 1 + -0.001 theta + 0.026 omega + 0.001 theta^2 + -0.027 theta omega + -0.225 omega^2 + 0.009 theta^2 omega + -0.025 theta omega^2 + -1.670 omega^3,5.0707906282e-04,-9.6412203933e-04,2.6479427552e-02,7.4741067987e-04,-2.6804081428e-02,-2.2456029757e-01,-2.0064182973e-04,8.8626564593e-03,-2.5005779961e-02,-1.6695220720e+00
67013,2025-04-14 14:45:00,0.038936,3.538105,2.501969,-0.011 1 + 0.770 omega + -0.011 theta omega + -1.012 omega^2 + -0.039 theta omega^2 + -0.304 omega^3,-0.043 1 + -0.003 theta + -0.730 omega + -0.033 theta omega + -3.559 omega^2 + -0.094 theta omega^2 + -4.596 omega^3,-4.3067675630e-02,-2.5888103978e-03,-7.3047999094e-01,-3.7691077265e-05,-3.3352396602e-02,-3.5589905193e+00,0.0000000000e+00,-3.1035805852e-04,-9.4222093653e-02,-4.5962900656e+00
67014,2025-04-14 14:50:00,nan,nan,nan,0.001 1 + -0.002 theta + 1.016 omega + 0.001 theta^2 + -0.023 theta omega + -0.004 omega^2 + 0.005 theta^2 omega + 0.039 theta omega^2 + 0.447 omega^3,0.002 1 + -0.003 theta + 0.032 omega + 0.002 theta^2 + -0.045 theta omega + -0.019 omega^2 + 0.010 theta^2 omega + 0.083 theta omega^2 + 0.831 omega^3,1.9351780677e-03,-3.2637940466e-03,3.2017039081e-02,1.6182779346e-03,-4.4962791407e-02,-1.8943121686e-02,-2.7832807992e-04,9.6126809163e-03,8.2583582974e-02,8.3069456145e-01
